I
1000 Generated by WorldEditor

1   3042 1 0 VOYK YELAHANKA
100 44.20 1 0 0.25 1 3 0 09  13.13650713  077.59207768  305    0 2 0 0 0 27  13.13626809  077.61600267  157   59 2 0 0 0
110 2 0.00 0.0000 New Taxiway 13
111  13.13518485  077.60132631 51 102
111  13.13467902  077.60131602 51 102
111  13.13463394  077.60201544 51 102
111  13.13439856  077.60201544 51 102
111  13.13439355  077.60218515 51 102
111  13.13393279  077.60220058 51 102
111  13.13394781  077.60309542 51 102
111  13.13426834  077.60308513 51 102
111  13.13431842  077.60553308 51 102
111  13.13344699  077.60553822 51 102
111  13.13341694  077.60665934 51 102
111  13.13209476  077.60661820 51 102
111  13.13206471  077.60953412 51 102
111  13.13332679  077.60954440
111  13.13335183  077.60898384
111  13.13427335  077.60900441
111  13.13428837  077.60946726
111  13.13455381  077.60948269
111  13.13461391  077.60600619
111  13.13488436  077.60618105
111  13.13494446  077.60608333
111  13.13465899  077.60586734
111  13.13471408  077.60576448
111  13.13478920  077.60566163
111  13.13488937  077.60576963
111  13.13500455  077.60566163
111  13.13493945  077.60558963
112  13.13507968  077.60550220  13.13508970  077.60548677
113  13.13515981  077.60541478
110 2 0.00 0.0000 New Taxiway 10
111  13.13609042  077.61486630
111  13.13603533  077.61490744
112  13.13602531  077.61497944  13.13602031  077.61498458
111  13.13599026  077.61498972
111  13.13597523  077.61506687
111  13.13582999  077.61507201
111  13.13581998  077.61514401
111  13.13571480  077.61516972
111  13.13569978  077.61523658
111  13.13570479  077.61532400
112  13.13550446  077.61530858  13.13542933  077.61528801
111  13.13530913  077.61522115
112  13.13529912  077.61500001  13.13529411  077.61474801
111  13.13528910  077.61444459
111  13.13530413  077.61408459
111  13.13529411  077.61372460
111  13.13531414  077.61351889
111  13.13537424  077.61325661
111  13.13538426  077.61318461
112  13.13531915  077.61326175  13.13531414  077.61329261
111  13.13529912  077.61338518
111  13.13525404  077.61368860
111  13.13525905  077.61392003
111  13.13523902  077.61513886
111  13.13529912  077.61547315
112  13.13556956  077.61577657  13.13569477  077.61577657
113  13.13608040  077.61577657
110 2 0.00 0.0000 New Taxiway 9
111  13.13530918  077.60994695
112  13.13527606  077.61237808  13.13528020  077.61248859
111  13.13533401  077.61263735
113  13.13535884  077.60988319
110 2 0.00 0.0000 New Taxiway 8
111  13.13537231  077.60289420
112  13.13534333  077.60512557  13.13535161  077.60515957
112  13.13574068  077.60551659  13.13611734  077.60556334
112  13.13617942  077.60518507  13.13611734  077.60531683
112  13.13574896  077.60546134  13.13557098  077.60546134
111  13.13541370  077.60524033
113  13.13544267  077.60284744
110 2 0.00 0.0000 New Taxiway 7
111  13.13622883  077.60006810
112  13.13576225  077.59978604  13.13544241  077.59979377
112  13.13540855  077.60021106  13.13542736  077.60019174
111  13.13539726  077.60078291
111  13.13538221  077.60177206
111  13.13579235  077.60218163 51 102
111  13.13543112  077.60174888 51 102
111  13.13546123  077.60014538 51 102
